[12:20:12] NAME   REFERENCE         TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
[12:20:12] demo   Deployment/demo   cpu: 1%/50%   2         8         8          2d1h
[12:22:04] demo   Deployment/demo   cpu: 1%/50%   2         8         8          2d1h
[12:22:19] demo   Deployment/demo   cpu: 1%/50%   2         8         8          2d1h
[12:22:34] demo   Deployment/demo   cpu: 1%/50%   2         8         3          2d1h
[12:23:04] demo   Deployment/demo   cpu: 1%/50%   2         8         3          2d1h
[12:23:19] demo   Deployment/demo   cpu: 1%/50%   2         8         2          2d1h
[12:25:34] demo   Deployment/demo   cpu: 114%/50%   2         8         2          2d1h
[12:25:50] demo   Deployment/demo   cpu: 466%/50%   2         8         4          2d1h
[12:26:05] demo   Deployment/demo   cpu: 384%/50%   2         8         8          2d1h
[12:26:20] demo   Deployment/demo   cpu: 256%/50%   2         8         8          2d1h
[12:26:35] demo   Deployment/demo   cpu: 315%/50%   2         8         8          2d1h
[12:26:50] demo   Deployment/demo   cpu: 314%/50%   2         8         8          2d1h
[12:27:05] demo   Deployment/demo   cpu: 315%/50%   2         8         8          2d1h
[12:27:20] demo   Deployment/demo   cpu: 318%/50%   2         8         8          2d1h
[12:27:35] demo   Deployment/demo   cpu: 306%/50%   2         8         8          2d1h
[12:27:50] demo   Deployment/demo   cpu: 308%/50%   2         8         8          2d1h
[12:28:05] demo   Deployment/demo   cpu: 361%/50%   2         8         8          2d1h
[12:28:20] demo   Deployment/demo   cpu: 390%/50%   2         8         8          2d1h
[12:28:35] demo   Deployment/demo   cpu: 305%/50%   2         8         8          2d1h
[12:28:50] demo   Deployment/demo   cpu: 317%/50%   2         8         8          2d1h
[12:29:05] demo   Deployment/demo   cpu: 313%/50%   2         8         8          2d1h
[12:29:35] demo   Deployment/demo   cpu: 315%/50%   2         8         8          2d1h
[12:29:50] demo   Deployment/demo   cpu: 313%/50%   2         8         8          2d1h
[12:30:05] demo   Deployment/demo   cpu: 315%/50%   2         8         8          2d1h
[12:30:20] demo   Deployment/demo   cpu: 310%/50%   2         8         8          2d1h
[12:30:35] demo   Deployment/demo   cpu: 311%/50%   2         8         8          2d1h
[12:30:50] demo   Deployment/demo   cpu: 292%/50%   2         8         8          2d1h
[12:31:05] demo   Deployment/demo   cpu: 386%/50%   2         8         8          2d1h
[12:31:20] demo   Deployment/demo   cpu: 308%/50%   2         8         8          2d1h
[12:31:35] demo   Deployment/demo   cpu: 315%/50%   2         8         8          2d1h
[12:31:50] demo   Deployment/demo   cpu: 311%/50%   2         8         8          2d1h
[12:32:05] demo   Deployment/demo   cpu: 308%/50%   2         8         8          2d1h
[12:32:20] demo   Deployment/demo   cpu: 316%/50%   2         8         8          2d1h
[12:32:50] demo   Deployment/demo   cpu: 318%/50%   2         8         8          2d1h
[12:33:05] demo   Deployment/demo   cpu: 317%/50%   2         8         8          2d1h
[12:33:20] demo   Deployment/demo   cpu: 309%/50%   2         8         8          2d1h
[12:33:35] demo   Deployment/demo   cpu: 315%/50%   2         8         8          2d1h
[12:33:50] demo   Deployment/demo   cpu: 318%/50%   2         8         8          2d1h
[12:34:05] demo   Deployment/demo   cpu: 314%/50%   2         8         8          2d1h
[12:34:20] demo   Deployment/demo   cpu: 311%/50%   2         8         8          2d1h
[12:34:35] demo   Deployment/demo   cpu: 287%/50%   2         8         8          2d1h
[12:34:50] demo   Deployment/demo   cpu: 371%/50%   2         8         8          2d1h
[12:35:05] demo   Deployment/demo   cpu: 257%/50%   2         8         8          2d1h
[12:35:20] demo   Deployment/demo   cpu: 312%/50%   2         8         8          2d1h
[12:35:35] demo   Deployment/demo   cpu: 320%/50%   2         8         8          2d1h
[12:35:50] demo   Deployment/demo   cpu: 310%/50%   2         8         8          2d1h
[12:36:05] demo   Deployment/demo   cpu: 312%/50%   2         8         8          2d1h
[12:36:20] demo   Deployment/demo   cpu: 303%/50%   2         8         8          2d1h
[12:36:35] demo   Deployment/demo   cpu: 309%/50%   2         8         8          2d1h
[12:36:50] demo   Deployment/demo   cpu: 310%/50%   2         8         8          2d1h
[12:37:05] demo   Deployment/demo   cpu: 351%/50%   2         8         8          2d1h
[12:37:20] demo   Deployment/demo   cpu: 375%/50%   2         8         8          2d1h
[12:37:35] demo   Deployment/demo   cpu: 381%/50%   2         8         8          2d1h
[12:37:50] demo   Deployment/demo   cpu: 401%/50%   2         8         8          2d1h
[12:38:05] demo   Deployment/demo   cpu: 247%/50%   2         8         8          2d1h
[12:38:20] demo   Deployment/demo   cpu: 292%/50%   2         8         8          2d1h
[12:38:35] demo   Deployment/demo   cpu: 287%/50%   2         8         8          2d1h
[12:38:50] demo   Deployment/demo   cpu: 352%/50%   2         8         8          2d1h
[12:39:05] demo   Deployment/demo   cpu: 337%/50%   2         8         8          2d1h
[12:39:20] demo   Deployment/demo   cpu: 393%/50%   2         8         8          2d1h
[12:39:35] demo   Deployment/demo   cpu: 454%/50%   2         8         8          2d1h
[12:39:50] demo   Deployment/demo   cpu: 341%/50%   2         8         8          2d1h
[12:40:05] demo   Deployment/demo   cpu: 439%/50%   2         8         8          2d1h
[12:40:20] demo   Deployment/demo   cpu: 363%/50%   2         8         8          2d1h
[12:40:35] demo   Deployment/demo   cpu: 357%/50%   2         8         8          2d1h
[12:40:50] demo   Deployment/demo   cpu: 275%/50%   2         8         8          2d1h
[12:41:05] demo   Deployment/demo   cpu: 277%/50%   2         8         8          2d1h
[12:41:20] demo   Deployment/demo   cpu: 273%/50%   2         8         8          2d1h
[12:41:35] demo   Deployment/demo   cpu: 277%/50%   2         8         8          2d1h
[12:41:50] demo   Deployment/demo   cpu: 311%/50%   2         8         8          2d1h
[12:42:05] demo   Deployment/demo   cpu: 322%/50%   2         8         8          2d1h
[12:42:20] demo   Deployment/demo   cpu: 313%/50%   2         8         8          2d1h
[12:42:35] demo   Deployment/demo   cpu: 319%/50%   2         8         8          2d1h
[12:43:06] demo   Deployment/demo   cpu: 322%/50%   2         8         8          2d1h
[12:43:21] demo   Deployment/demo   cpu: 314%/50%   2         8         8          2d1h
[12:43:36] demo   Deployment/demo   cpu: 322%/50%   2         8         8          2d1h
[12:43:51] demo   Deployment/demo   cpu: 320%/50%   2         8         8          2d1h
[12:44:06] demo   Deployment/demo   cpu: 322%/50%   2         8         8          2d1h
[12:44:51] demo   Deployment/demo   cpu: 324%/50%   2         8         8          2d1h
[12:45:06] demo   Deployment/demo   cpu: 328%/50%   2         8         8          2d2h
[12:45:21] demo   Deployment/demo   cpu: 321%/50%   2         8         8          2d2h
[12:45:36] demo   Deployment/demo   cpu: 366%/50%   2         8         8          2d2h
[12:45:51] demo   Deployment/demo   cpu: 136%/50%   2         8         8          2d2h
[12:46:06] demo   Deployment/demo   cpu: 6%/50%     2         8         8          2d2h
[12:46:21] demo   Deployment/demo   cpu: 1%/50%     2         8         8          2d2h
[12:50:51] demo   Deployment/demo   cpu: 1%/50%     2         8         8          2d2h
[12:51:06] demo   Deployment/demo   cpu: 1%/50%     2         8         5          2d2h
[12:51:51] demo   Deployment/demo   cpu: 1%/50%     2         8         5          2d2h
